Word,Pronunciation
腌悶,jim mun
腌尖,jim zim
掩,jim
掩蓋,jim goi / jim koi
掩飾,jim sik
厭,jim
厭惡,jim wu
嫌,jim
嚴,jim
鹽,jim
炎,jim
嚴加,jim gaa
嚴格,jim gaak
嚴禁,jim gam
鹽焗雞,jim guk gai
嫌棄,jim hei
嚴刑,jim jing
嚴厲,jim lai
嚴密,jim mat
嚴肅,jim suk
嚴重,jim zung
染,jim
艷,jim
驗,jim
燄,jim
焰,jim
漸漸地,jim jim dei
艷遇,jim jyu
豔遇,jim jyu
驗證,jim zing
煙,jin
煙斗,jin dau
煙花,jin faa
煙灰盅,jin fui zung
煙頭,jin tau*
煙雲,jin wan
煙仔,jin zai
演變,jin bin
演出,jin ceot
演唱,jin coeng
演唱會,jin coeng wui*
演技,jin gei
演講,jin gong
演野,jin je
演員,jin jyun
展露,jin lou
演藝,jin ngai
演示,jin si
演說,jin syut
演説,jin syut
展會,jin wui
展現出,jin yin cheut
宴,jin
戰鬥力,jin dau lik
戰戰兢兢,jin jin ging ging
燕梳,jin so
戰團,jin tyun
宴會,jin wui
戰員,jin yun
燕子,jin zi
燕,jin(jin ancient state)
言,jin
然,jin
研,jin
賢,jin
延,jin
妍,jin
燃,jin
延遲,jin ci
言辭,jin ci
延長,jin coeng
研究,jin gau
研究生,jin gau saang
言行,jin hang
然後,jin hau
然而,jin ji
言語,jin jyu
言論,jin leon
延伸,jin san
燃燒,jin siu
賢淑,jin suk
然則,jin zak
然之後,jin zi hau
延續,jin zuk
現,jin
現錢,jin cin*
現場,jin coeng
現代,jin doi
現況,jin fong
現款,jin fun
現今,jin gam
現實,jin sat
現時,jin si
現象,jin zoeng
現在,jin zoi
英,jing
櫻,jing
應得,jing dak
應當,jing dong
應份,jing fan
貞潔,jing git
應該,jing goi
精工,jing gung
英國,jing gwok
英國人,jing gwok jan
應有此報,jing jau ci bou
英語,jing jyu
英文,jing man*/
英美,jing mei
精妙,jing miu
鸚鵡,jing mou
精心製作,jing sam jai jok
精神飽滿,jing san baau mun
精神上,jing san seung
應承,jing sing
精誠所至,jing sing so ji
櫻桃,jing tou
精於,jing yu
精於此道,jing yu chi dou
英俊,jing zeon
影,jing
映,jing
整塊,jing faai
影響,jing hoeng
影印,jing jan
影印機,jing jan gei
整整齊齊,jing jing chai chai
影院,jing jyun
影迷,jing mai
影藝,jing ngai
影片,jing pin*
影衰,jing seoi
影視,jing si
影相,jing soeng*
影相機,jing soeng* gei
影像,jing zoeng
應酬,jing cau
正打,jing da
應對,jing deoi
正點,jing dim
正反,jing faan
正法,jing faat
應付,jing fu
政工,jing gung
正骨,jing gwat
證券市場,jing hyun si cheung
政治制度,jing ji jai dou
政治權利,jing ji kyun lei
政治立場,jing ji laap cheung
政治問題,jing ji man tai
政治上,jing ji seung
正正,jing jing
應邀,jing jiu
正面交鋒,jing min gaau fung
正安,jing on
正心,jing sam
正相反,jing seung faan
正常情況,jing seung ching fong
正常地,jing seung dei
正常生活,jing seung saang wut
政事,jing si
正色,jing sik
正式開始,jing sik hoi chi
正體,jing tai
政體,jing tai
正體字,jing tai ji
應允,jing wan
正人君子,jing yan gwan ji
證言,jing yin
正型,jing ying
應徵,jing zing
型,jing
刑,jing
形,jing
盈,jing
仍,jing
營,jing
蠅,jing
螢,jing
贏得,jing dak / jeng dak
刑罰,jing fat
凝結,jing git
凝固,jing gu
螢光,jing gwong
迎合,jing hap
型號,jing hou
仍然,jing jin
營業部,jing jip bou
營養,jing joeng
形容,jing jung
凝,jing king
盈利,jing lei
迎面,jing min
凝望,jing mong
形勢,jing sai
刑事,jing si
凝視,jing si
形式,jing sik
形成,jing sing
營商,jing soeng
形態,jing taai
營運,jing wan
迎接,jing zip
形象,jing zoeng
形狀,jing zong
營造,jing zou
認,jing
認親認戚,jing {can can} jing {cik cuk}
認出,jing ceot
認錯,jing co
認低威,jing dai wai
認得,jing dak
認定,jing ding
靜氣,jing hei
認叻,jing lek
靜心,jing sam
認識,jing sik
靜聽,jing teng
認同,jing tung
認為,jing wai
認真,jing/jing* zan
接電話,jip din wa
接下,jip ha
接下來,jip ha loi
接觸到,jip juk dou
接觸過,jip juk gwo
接上,jip seung
業,jip
葉,jip
頁,jip
業務,jip mou
業主,jip zyu
節前,jit chin
折返,jit faan
熱,jit
熱茶,jit caa
熱情,jit cing
熱潮,jit ciu
熱帶,jit daai
熱氣,jit hei
熱血,jit hyut
熱烈,jit lit
熱門,jit mun*
熱鬧,jit naau
熱愛,jit oi
熱心,jit sam
熱死,jit sei
熱線,jit sin
熱誠,jit sing
截斷,jit tyun
腰,jiu
邀,jiu
焦躁,jiu chou
焦躁地,jiu chou dei
邀請,jiu cing
腰帶,jiu daai
招風,jiu fung
腰間,jiu gaan
腰骨,jiu gwat
招行,jiu hang
要脅,jiu hip
招展,jiu jin
招來,jiu loi
繞,jiu / jiu
妖怪,jiu gwaai
擾,"jiu,jiu"
要,jiu
照辦,jiu baan
要不,jiu bat
照單全收,jiu daan chyun sau
照得,jiu dak
要點,jiu dim
要緊,jiu gan
照顧好,jiu gu hou
要好,jiu hou
要人,jiu jan
要有,jiu jau
照理,jiu lei
要命,jiu meng
要面,jiu min*
要生要死,jiu saang jiu sei
要事,jiu si
要是,jiu si
堯,jiu
搖,jiu
姚,jiu
饒,jiu
搖擺,jiu baai
遙控,jiu hung
遙遠,jiu jyun
饒恕,jiu syu
搖頭,jiu tau
耀,jiu
耀眼,jiu ngaan
喲,jo
唷,jo
左顧右盼,jo gu yau paan
左下,jo ha
左傳,jo jyun
左拉,jo laai
左上,jo seung
左思,jo si
左思右想,jo si yau seung
助力,jo lik
助人,jo yan
約,joek
躍,joek / joek
約束,joek cuk
約定,joek ding
約數,joek sou
藥,joek
弱,joek
虐,joek
弱點,joek dim
虐待,joek doi
藥房,joek fong
若干,joek gon
藥膏,joek gou
若果,joek gwo
藥行,joek hong*
藥油,joek jau
若然,joek jin
藥丸,joek jyun*
藥力,joek lik
藥物,joek mat
藥水,joek seoi
藥箱,joek soeng
弱智,joek zi
鴦,joeng
殃,joeng
央,joeng
揚,joeng
楊,joeng
洋,joeng
羊,joeng
陽,joeng
揚長而去,joeng coeng ji heoi
洋蔥,joeng cung
洋房,joeng fong
陽光,joeng gwong
揚揚,joeng joeng
羊肉,joeng juk
洋樓,joeng lau*
羊毛,joeng mou
羊毛衫,joeng mou saam
陽台,joeng toi
洋紫荊,joeng zi ging
洋燭,joeng zuk
養,joeng
仰,joeng
攘,joeng
氧,joeng
養大,joeng daai
氧化,joeng faa
養育,joeng juk
仰慕,joeng mou
讓,joeng
釀,joeng
恙,joeng
樣本,joeng bun
樣樣,joeng joeng
樣子,joeng zi
樣衰,joeng* seoi
栽下,joi ha
栽入,joi yap
再刺,joi chi
再刺激,joi chi gik
再犯,joi faan
再發,joi faat
再發生,joi faat saang
再發現,joi faat yin
再考慮,joi haau leui
再肯定,joi hang ding
再起,joi hei
再開始,joi hoi chi
再好,joi hou
再接受,joi jip sau
再作,joi jok
再來,joi loi
再提出,joi tai cheut
再投資,joi tau ji
再混合,joi wan hap
再回答,joi wui daap
在背後,joi bui hau
在此,joi chi
在後面,joi hau min
在進行,joi jeun hang
在進行中,joi jeun hang jung
在即,joi jik
在了,joi liu
在心中,joi sam jung
在一旁,joi yat pong
作表,jok biu
作出反應,jok cheut faan ying
作工,jok gung
作下,jok ha
作合,jok hap
作戲,jok hei
作準,jok jeun
作勢,jok sai
作手,jok sau
作人,jok yan
裝出,jong cheut
裝束,jong chuk
裝費,jong fai
莊老,jong lou
裝上,jong seung
裝成,jong sing
裝入,jong yap
壯健,jong gin
葬埋,jong maai
撞向,jong heung
撞爛,jong laan
撞上,jong seung
租車,jou che
租房,jou fong
糟糠,jou hong
租住,jou jyu
遭遇戰,jou yu jin
早起,jou hei
早就,jou jau
早知道,jou ji dou
早死,jou sei
早退,jou teui
做親,jou chan
造出,jou cheut
做大,jou daai
做多,jou do
做化療,jou fa liu
做假,jou ga
做功,jou gung
做好準備,jou hou jeun bei
做準備,jou jeun bei
造紙,jou ji
做自己,jou ji gei
做偵探,jou jing taam
做做,jou jou
做足,jou juk
做眼,jou ngaan
做細,jou sai
做實,jou sat
做手,jou sau
做手術,jou sau seut
做壽,jou sau
做小,jou siu
做傻事,jou so si
做一下,jou yat ha
郁,juk
沃,juk
郁動,juk dung
觸感,juk gam
郁下,juk haa
足球比賽,juk kau bei choi
足球場,juk kau cheung
足球賽,juk kau choi
足球隊,juk kau deui
祝您,juk nei
觸怒,juk nou
郁手,juk sau
竹葉青,juk yip ching
肉,juk
欲,juk
育,juk
辱,juk
浴,juk
獄,juk
肉赤,juk cek
肉彈,juk daan*
逐點,juk dim
肉檔,juk dong
肉金,juk gam
肉緊,juk gan
浴缸,juk gong
續續,juk juk
肉麻,juk maa
玉女,juk neoi/*
浴室,juk sat
肉酸,juk syun
肉痛,juk tung
翁,jung
中產階層,jung chaan gaai chang
中青,jung ching
中國婦女,jung gwok fu neui
中國革命,jung gwok gaak ming
中國公民,jung gwok gung man
中國話,jung gwok wa
中興,jung hing
中看,jung hon
中左,jung jo
中足,jung juk
雍容,jung jung
中期,jung kei
中流,jung lau
中略,jung leuk
中心度,jung sam dou
終審法院,jung sam faat yun*
終身大事,jung san daai si
宗師,jung si
中小,jung siu
中小型,jung siu ying
中小型企業,jung siu ying kei yip
中華兒女,jung wa yi neui
忠言逆耳,jung yin yik yi
中英文,jung ying man
中越,jung yut
佣,jung
湧,jung
擁,jung
冗,jung
俑,jung
臃,jung
擁躉,jung dan
種毒,jung duk
佣金,jung gam
總結出,jung git cheut
總行,jung hang
擁有,jung jau
踴躍,jung joek / jung joek
總編,jung pin
擁抱,jung pou
總統套房,jung tung tou fong
擁護,jung wu
總而言之,jung yi yin ji
擁擠,jung zai
臃腫,jung zung
種花,jung fa
容,jung
溶,jung
蓉,jung
融,jung
庸,jung
熔,jung
茸,jung
融化,jung faa
熔化,jung faa
融洽,jung hap
融合,jung hap
容許,jung heoi
容忍,jung jan
容易,jung ji
容量,jung loeng
容貌,jung maau
容乜易,jung mat ji
庸脂俗粉,jung zi zuk fan
庸俗,jung zuk
勇敢,jung gam
勇氣,jung hei
勇士,jung si
用,jung
重辦,jung baan
用品,jung ban
用處,jung cyu
重打,jung da
重大改革,jung daai goi gaak
重大意義,jung daai yi yi
重犯,jung faan
用法,jung faat
用具,jung geoi
重講,jung gong
用意,jung ji
重做,jung jou
重拳,jung kyun
重來,jung loi
重落,jung lok
重男輕女,jung naam heng neui
重拍,jung paak
用心,jung sam
重新包裝,jung san baau jong
重新分配,jung san fan pui
重新振作,jung san jan jok
重新安裝,jung san on jong
重新安排,jung san on paai
用手,jung sau
重寫,jung se
重想,jung seung
重選,jung syun
用途,jung tou
重話,jung wa
重要原因,jung yiu yun yan
重圓,jung yun
於,jyu
珠寶首飾,jyu bou sau sik
珠江三角洲,jyu gong saam gok jau
珠海,jyu hoi
珠三角,jyu saam gok
珠心,jyu sam
於是,jyu si
株式會社,jyu sik wui se
豬蹄,jyu tai
瘀,jyu
主導權,jyu dou kyun
主軸,jyu juk
瘀皮,jyu pei
主要問題,jyu yiu man tai
主要有,jyu yiu yau
著稱於世,jyu ching yu sai
注資,jyu ji
鑄成,jyu sing
注意到,jyu yi dou
注意安全,jyu yi on chyun
注意身體,jyu yi san tai
如,jyu
餘,jyu
余,jyu
愚,jyu
瑜,jyu
愉,jyu
儒,jyu
禺,jyu
隅,jyu
孺,jyu
愚蠢,jyu ceon
如此,jyu ci
魚蛋,jyu daan*
餘地,jyu dei
愉快,jyu faai
瑜珈,jyu gaa
如今,jyu gam
魚缸,jyu gong
魚骨,jyu gwat
如果,jyu gwo
餘下,jyu haa
如何,jyu ho
如意,jyu ji
輿論,jyu leon
娛樂,jyu lok
愚弄,jyu lung
漁民,jyu man
魚尾紋,jyu mei man
如常,jyu soeng
漁船,jyu syun
如同,jyu tung
魚,jyu*
與,jyu
語,jyu
乳,jyu
宇,jyu
乳鴿,jyu gaap
語氣,jyu hei
語言,jyu jin
乳溝,jyu kau
與其,jyu kei
語文,jyu man
乳名,jyu meng
語無倫次,jyu mou leon ci
雨傘,jyu saan*
宇宙,jyu zau
乳豬,jyu zyu
愈,jyu
預,jyu
遇,jyu
譽,jyu
喻,jyu
裕,jyu
寓,jyu
豫,jyu
預備,jyu bei
預報,jyu bou
預測,jyu cak / jyu caak
預訂,jyu deng
預定,jyu ding
住到,jyu dou
住家,jyu ga
預計,jyu gai
遇見,jyu gin
寓意,jyu ji
預期,jyu kei
預料,jyu liu
預算案,jyu syun on
住友,jyu yau
預知,jyu zi
預支,jyu zi
預早,jyu zou
冤,jyun
冤仇,jyun {sau cau kau}
尊卑,jyun bei
尊大,jyun daai
冤家,jyun gaa
冤氣,jyun hei
專治,jyun ji
鴛鴦,"jyun joeng , jin joeng"
鴛盟,jyun mang
專案組,jyun on jou
冤死,jyun sei
尊師,jyun si
冤枉,jyun wong
專意,jyun yi
尊翁,jyun yung
婉,jyun
苑,jyun
轉差,jyun cha
轉出,jyun cheut
轉晴,jyun ching
轉嫁,jyun ga
院校,jyun haau
轉贈,jyun jang
轉正,jyun jing
轉轉,jyun jyun
婉拒,jyun keoi
轉售,jyun sau
轉述,jyun seut
惋惜,jyun sik
轉為,jyun wai
轉而,jyun yi
轉移到,jyun yi dou
轉移視線,jyun yi si sin
轉院,jyun yun
怨,jyun
怨恨,jyun han
完,jyun
原,jyun
員,jyun
元,jyun
圓,jyun
緣,jyun
源,jyun
園,jyun
懸,jyun
玄,jyun
猿,jyun
沿,jyun
炫,jyun (jyun uncommon standard)
鉛筆,jyun bat
完畢,jyun bat
原本,jyun bun
原始,jyun ci
緣份,jyun fan
原價,jyun gaa
完結,jyun git
緣故,jyun gu
員工,jyun gung
沿海,jyun hoi
圓圈,jyun hyun
原因係因為,jyun jan hai jan wai
炫耀,jyun jiu
圓圓地,jyun jyun {dei dei*}
源源不絕,jyun jyun bat zyut
原理,jyun lei
原料,jyun liu*
原諒,jyun loeng
原來,jyun loi
完美,jyun mei
懸崖,jyun ngaai
沿岸,jyun ngon
原先,jyun sin
完成,jyun sing
元宵,jyun siu
元素,jyun sou
懸殊,jyun syu
元蹄,jyun tai
沿途,jyun tou
原則,jyun zak
原則上,jyun zak {soeng soeng}
丸子,jyun zi [jyun zi]
完整,jyun zing
援助,jyun zo; wun zo
沿住,jyun zyu
丸仔,jyun* zai
軟,jyun
遠方,jyun fong
遠近,jyun gan [jyun kan]
軟件,jyun gin [jyun gin]
軟弱,jyun joek
遠離,jyun lei
軟皮蛇,jyun pei se
遠山,jyun saan
軟體,jyun tai
願,jyun
縣,jyun
願意,jyun ji
願望,jyun mong
願你,jyun nei
乙,jyut
拙劣,jyut lyut
月,jyut
越,jyut
穴,jyut
月中,jyut {zung zung}
絕不會,jyut bat wui
月餅,jyut beng
絕大部份,jyut daai bou fan
絕大多數,jyut daai do sou
月底,jyut dai
絕地,jyut dei
絕頂,jyut deng
月份,jyut fan
月經,jyut ging
越軌,jyut gwai
越過,jyut gwo
月光,jyut gwong
絕跡,jyut jik
粵語,jyut jyu
月球,jyut kau
月亮,jyut loeng
月尾,jyut mei*
絕無僅有,jyut mou gan yau
月薪,jyut san
月色,jyut sik
月食,jyut sik
月頭,jyut tau
絕育,jyut yuk
K,K
K仔,K {zai zi}
卡拉,ka laai
卡斯,ka si
卡位,ka wai
卡,kaa
卡車,kaa ce
卡拉OK,kaa laai ou kei
卡通,kaa tung
咭,kaat
卡片,kaat pin*
靠,kaau
靠邊,kaau bin
靠窗,kaau cheung
靠大家,kaau daai ga
靠近,kaau gan
靠害,kaau hoi
靠山,kaau saan
靠手,kaau sau
溪,kai
溪水,kai seoi
啟,kai
啟發,kai faat
啟示,kai si
契弟,kai dai
契哥,kai go
契爺,kai je
契媽,kai maa
契妹,kai mui*
契女,kai neoi*
契仔,kai zai
襟,kam
禽,kam
琴,kam
擒,kam
擒青,kam ceng
琴日,kam jat
擒擒青,kam kam ceng
禽流感,kam lau gam
琴晚,kam maan
噙晚,kam maan
禽獸,kam sau
芹,kan
勤,kan
勤儉,kan gim
勤勤,kan kan
勤力,kan lik
勤勞,kan lou
掯,kang
給,kap
級,kap
吸,kap
扱,kap
級別,kap bit
吸毒,kap duk
吸管,kap gun
吸血,kap hyut
吸引力,kap jan lik
吸煙,kap jin
給予,kap jyu
給你,kap nei
吸收,kap sau
吸聲,kap sing
吸引住,kap yan jyu
吸引人,kap yan yan
及,kap
及其他,kap kei ta
及時,kap si
及時趕到,kap si gon dou
及早,kap zou
咳,kat
咳得,kat dak
咭片,kat pin*
溝女,kau neoi*
溝仔,kau zai
扣,kau
叩,kau
購,kau / gau
叩拜,kau baai
扣分,kau fan
購買,kau maai / gau maai
扣上,kau seung
構成,kau sing / gau sing
叩頭,kau tau
構造,kau zou / gau zou
球,kau
求,kau
球場,kau coeng
球賽,kau coi
球隊,kau deoi [kau deoi]
求婚,kau fan
求教,kau gaau
求救,kau gau
求學,kau hok
求醫,kau ji
求知,kau ji
球員,kau jyun
求求其其,kau kau kei kei
求其,kau kei
球迷,kau mai
球棒,kau paang
求神拜佛,kau san baai fat
求生,kau sang
求先,kau sin
求人,kau yan
求之不得,kau zi bat dak
求證,kau zing
求助,kau zo
舅父,kau fu*
舅母,kau mou
舅,kau|kau
Ke,Ke
騎虎,ke fu
騎樓,ke lau*
騎馬,ke ma
騎呢,ke ne ; ke le
茄輪,ke* leon*
崎嶇,kei keoi
其,kei
奇,kei
期,kei
旗,kei
歧,kei
祈,kei
其次,kei ci
旗幟,kei ci
奇才,kei coi
期待,kei doi
期付,kei fu
祈福,kei fuk
期間,kei gaan
其間,kei gaan
奇景,kei ging
奇怪,kei gwaai
奇怪地,kei gwaai dei
其中一個原因,kei jung yat go yun yan
其餘,kei jyu
祈求,kei kau
奇奇怪怪,kei kei gwaai gwaai
棋,kei kei*
奇妙,kei miu
期望,kei mong
奇難雜症,kei naan zaap zing
旗袍,kei pou [kei pou]
其三,kei saam
其實,kei sat
奇想,kei seung
歧視,kei si
其所,kei so
其他的,kei ta dik
其他國家,kei ta gwok ga
其他,kei taa
其它,kei taa
其他人,kei taa jan
祈禱,kei tou
其人,kei yan
其一,kei yat
其二,kei yi
棋子,kei zi
奇蹟,kei zik
奇跡,kei zik
其中之一,kei zung zi jat
企硬,kei ngaang
企堂,kei tong*
企圖,kei tou
劇,kek
屐,kek
劇本,kek bun
劇情,kek cing
劇烈,kek lit
劇集,kek zaap
區,keoi
嶇,keoi
區別,keoi bit
俱全,keoi cyun
區域,keoi wik
渠,keoi
渠道,keoi dou
佢,keoi
距,keoi
拒,keoi
佢哋,keoi dei
佢地,keoi dei
佢哋嘅,keoi dei ge
佢哋自己,keoi dei zi gei/
佢嘅,keoi ge
距離,keoi lei
拒絕,keoi zyut
俱,keui
駒,keui
拘,keui
拘捕,keui bou
區旗,keui kei
驅魔,keui mo
區議會,keui yi wui
距今,keui gam
卻,keuk
卻不,keuk bat
強打,keung da
強地,keung dei
強攻,keung gung
強烈地,keung lit dei
強烈地震,keung lit dei jan
強人,keung yan
強而有力,keung yi yau lik
強要,keung yiu
強迫性,keung baak sing
棘手,kik sau
㨴,kin
虔,kin
虔誠,kin sing
傾,king
傾斜,king ce
傾計,king gai*
傾偈,king gai*
傾向,king hoeng
傾唔埋欄,king m maai laan
傾心,king sam
傾瀉,king se
擎,king
竭,kit
揭,kit
揭穿,kit cyun
揭發,kit faat
揭開,kit hoi
竭力,kit lik
揭露,kit lou
揭盅,kit zung
橋樑,kiu loeng
橋頭,kiu tau
繑,kiu
強大,koeng daai
強姦,koeng gaan
強烈,koeng lit
強硬,koeng ngaang
強硬態度,koeng ngaang taai dou
強勢,koeng sai
強壯,koeng zong
強迫,koeng bik
強調,koeng diu
慨,koi
概,koi
鈣,koi
概要,koi jiu
確保,kok bou
確定,kok ding
確係,kok hai
確實,kok sat
確有,kok yau
確認一下,kok ying yat ha
抗,kong
擴充,kong cung
擴大,kong daai
抗議,kong ji
抗拒,kong keui
抗命,kong ming
箍煲,ku bou
繪,kui
繪畫,kui waa [kui waa]
曲奇,kuk kei
窮,kung
窮到燶,kung dou nung
窮鬼,kung gwai
括,kut
豁然,kut yin
誇張地,kwa jeung dei
誇張到,kwa jeung dou
誇,kwaa
跨,kwaa
垮,kwaa
誇口,kwaa hau
誇張,kwaa zoeng
框,kwaang
虧,kwai
規,kwai
盔,kwai
規定,kwai ding
虧負,kwai fu
規矩,kwai geui
規律,kwai leot
虧佬,kwai lou
規模,kwai mou
規條,kwai tiu
規劃,kwai waak
規則,kwai zak
愧,kwai
攜,kwai
葵,kwai
睽,kwai
攜帶,kwai daai
坤,kwan
昆,kwan
昆蟲,kwan cung
昆山,kwan saan
菌,kwan
困,kwan
困境,kwan ging
困擾,kwan jiu*
困難,kwan naan
裙,kwan
群,kwan
群埋,kwan maai
擴散,kwok saan
擴大到,kwong daai dou
狂,kwong
狂熱,kwong jit
狂鬧,kwong naau
狂言,kwong yin
權,kyun
拳,kyun
拳打,kyun da
拳打腳踢,kyun da geuk tek
拳腳,kyun geuk
權益,kyun jik
權重,kyun jung
權利,kyun lei
權力,kyun lik
拳術,kyun seot
拳頭,kyun tau
決,kyut
訣,kyut
缺,kyut
決策,kyut caak
決策人,kyut chaak yan
缺點,kyut dim
決定,kyut ding
缺乏,kyut fat
缺陷,kyut haam
缺口,kyut hau
決裂,kyut lit
決心,kyut sam
缺少,kyut siu
決戰,kyut zin
喇嘛,la ma
啦,laa
嘞 -del-,laa
拉埋天窗,laa maai tin coeng
喇,laa
嘞 -del-,laa
罅,laa
喇叭,laa baa
揦鮓,laa zaa
孻,laai
孻仔,laai {zai zi}
拉柴,laai caai
拉大,laai daai
拉蒂,laai dai
拉特,laai dak
拉倒,laai dou
拉到,laai dou
拉夫,laai fu
拉卡斯,laai ka si
拉利,laai lei
孻尾,laai mei
拉手,laai sau
拉斯,laai si
拉一拉,laai yat laai
癩,laai
賴,laai
攋低,laai dai
賴死,laai sei
賴以,laai yi
嘞,laak
攬實,laam sat
攬住,laam zyu
藍,laam
籃球,laam kau
籃,laam laam*
藍牙,laam nga
藍色,laam sik
藍田,laam tin
覽,laam
攬頭攬頸,laam tau* {laam laam laam} geng
纜,laam
纜車,laam ce
濫用,laam jung
躝,laan
躝屍,laan si
蘭,laan
欄,laan
攔,laan
蘭花,laan faa
欄杆,laan gon
蘭克,laan hak
欄柵,laan saan
懶,laan
懶叻,laan {lek lik lak}
懶醒,laan {sing seng}
懶蟲,laan cung
懶得戚,laan dak {cik cuk}
懶懶閒,laan laan haan
懶理,laan lei
爛,laan
爛命一條,laan {ming meng} jat {tiu }
爛賭,laan dou
爛瞓,laan fan
爛鬼,laan gwai
爛醉,laan jeui
爛尾,laan mei
爛數,laan sou
爛仔,laan zai
爛咗,laan zo
冷清,laang ching
冷淡,laang daam
冷飯,laang faan
冷氣,laang hei
冷氣機,laang hei gei
冷汗,laang hon
冷落,laang lok
冷面,laang min
冷水,laang seui
冷笑,laang siu
冷語,laang yu
冷靜,laang zing
擸,laap
蠟,laap
立法會議員,laap faat wui yi yun
立國,laap gwok
立刻,laap hak
垃圾,laap saap
垃圾袋,laap saap doi*
垃圾嘢,laap saap je
垃圾筒,laap saap tung*
立心不良,laap sam bat loeng
立時,laap si
立於不敗之地,laap yu bat baai ji dei
垃雜嘢,laap zaap je
立即,laap zik
立足,laap zuk
辣,laat
辣著,laat {zyu zoek zoek}
邋遢,laat taat
辣椒,laat ziu
黎,lai
黎,lai
嚟,lai
嚟㗎,lai gaa
嚟嘅,lai ge
黎明,lai ming
來安,lai on
黎平,lai ping
嚟真,lai* zan
禮,lai
禮拜,lai baai
禮拜一,lai baai jat
禮拜日,lai baai jat
禮拜二,lai baai ji
禮拜六,lai baai luk
禮拜五,lai baai ng
禮拜三,lai baai saam
禮拜四,lai baai sei
禮品,lai ban
禮餅,lai beng
禮服,lai fuk
禮金,lai gam
禮券,lai hyun / gyun
禮制,lai jai
禮儀,lai ji
禮貌,lai maau
禮堂,lai tong
禮義,lai yi
勵,lai
例,lai
麗,lai
厲,lai
荔,lai
厲害,lai hoi
例如,lai jyu
例外,lai ngoi
例牌,lai paai*
利市,lai si*
利是,lai si
荔枝,lai zi
例子,lai zi
勒馬,lak ma
勒索,lak sok
Lam,Lam
冧把,lam baa
林,lam
臨,lam
淋,lam
林村,lam chyun
臨急臨忙,lam gap lam mong
臨記,lam gei
林肯,lam hang
臨行,lam hang
林立,lam lap / lam laap
淋漓,lam lei
臨門,lam mun
臨死,lam sei
臨時,lam si
林憶蓮,lam yik lin
臨走,lam zau
笠,lap
粒粒,lap lap
粒聲唔出,lap seng m ceot
立品,lap ban
立場,lap coeng / laap coeng
立法,lap faat / laap faat
立例,lap lai / laap lai
立立亂,lap lap* lyun
立亂,lap lyun*
立心,lap sam
立志,lap zi
甩,lat
甩底,lat dai
甩開,lat hoi
甩難,lat naan*
甩皮,lat pei
甩皮甩骨,lat pei lat gwat
甩身,lat san
甩咗,lat zo
嘍,lau|lau
留,lau
樓,lau
流,lau
劉,lau
騮,lau
硫,lau
劉備,lau bei
溜冰,lau bing
樓層,lau chang
流出,lau cheut
劉青雲,lau ching wan
流傳,lau cyun
留低,lau dai
劉德華,lau dak wa
留待,lau doi
留都,lau dou
流到,lau dou
樓道,lau dou
流動,lau dung
流下眼淚,lau ha ngaan leui
樓下,lau haa
留下,lau haa
流行,lau hang
流行樂,lau hang lok
流口水,lau hau seoi
留學,lau hok
流汗,lau hon
流血,lau hyut
流嘢,lau je
留意,lau ji
留言,lau jin
流轉,lau jyun
留給,lau kap
瀏覽,lau laam
流利,lau lei
榴槤,lau lin
流浪,lau long
流浪漢,lau long hon
流露,lau lou
流露出,lau lou cheut
流馬尿,lau maa niu
留難,lau naan
留念,lau nim
樓盤,lau pun [lau pun]
留心,lau sam
流失,lau sat
留守,lau sau
樓上,lau soeng
樓梯,lau tai
樓臺,lau toi
流通,lau tung
流言,lau yin
褸,lau*
漏,lau
溜,lau
陋,lau
漏洞,lau dung
漏口,lau hau
漏口風,lau hau fung
漏氣,lau hei
漏夜,lau je
咧,le le
褦,"le,naai,nang,nang"
喱,lei
離,lei
璃,lei
籬,lei
厘,lei
狸,lei
罹,lei
離不開,lei bat hoi
離婚,lei fan
離間,lei gaan
離去,lei heoi
離開,lei hoi
離開過,lei hoi gwo
離開了,lei hoi liu
離開人世,lei hoi yan sai
嚟唔切,lei m cit
厘米,lei mai
離譜,lei pou
離會,lei wui
理,lei
李,lei
里,lei
履,lei
理應,lei {jing jing}
理睬,lei coi
履帶,lei daai
理髮,lei faat
理解,lei gaai
履行,lei hang
理開,lei hoi
理學,lei hok
李鴻章,lei hung jeung
理由,lei jau
理論,lei leon
理事,lei si
李氏,lei si
理所當然,lei so dong jin
理想,lei soeng
李維,lei wai
理會,lei wui
里約熱內盧,lei yeuk yit noi lou
哩,lei|le|lei|li
脷,lei
莉,lei
利錢,lei {cin cin*}
利登,lei dang
利貢,lei gung
利害,lei hoi
利潤,lei jeon
利益,lei jik
利益衝突,lei jik cung dat
利用,lei jung
利利,lei lei
利利是是,lei lei si si
利率,lei leot [lei leot]
利馬,lei ma
利文,lei man
利物浦,lei mat pou
利斯,lei si
利息,lei sik
叻女,lek neoi*
叻仔,lek zai
舐,lem 
靚靚,leng leng
靚衫,leng saam
靚女,leng* neui*
靚仔,leng/* zai
領嘢,leng je
雷,leoi
蕾,leoi
擂,leoi
雷射,leoi se
擂台,leoi toi
裏,leoi
旅,leoi
屢,leoi
侶,leoi
裏邊,leoi bin
裡便,leoi bin
旅程,leoi cing
旅館,leoi gun
旅客,leoi haak
旅行,leoi hang
